Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.2909999999998,208.17811670852728,173.88874704163598,1.1971914241160242,0.5498121871383472,28715,190.1410972745107,0.7639225181598062,0.9888559986069998,0.9580271262501276,0.9133577547957626,0.0073315061351832,0.0031472891673356,0.8342223882455563,0.9987238890131684,SEKER
28734,638.0179999999999,200.5247956636481,182.73441935102403,1.0973564606810586,0.4117852513672403,29172,191.2727504858446,0.7839681327076286,0.9849856026326614,0.8870336365528869,0.9538608422605128,0.0069786592769418,0.0035636237121009,0.9098505063979352,0.9984303314497068,SEKER
29380,624.11,212.8261298602065,175.93114261271373,1.209712656324364,0.5627273167504117,29690,193.41090409881,0.7781132475237035,0.989558773997979,0.9478494730164112,0.9087742385103312,0.0072439118400342,0.0030477332172131,0.8258706165800324,0.9990661373632715,SEKER
30008,645.8839999999999,210.5579989609251,182.51651569530463,1.153638059321893,0.4986159764027165,30724,195.467061824781,0.7826812728221177,0.9766957427418304,0.9039363743173376,0.9283288347599437,0.0070167288376741,0.00321456207939,0.8617944254467546,0.99419884850682,SEKER
30140,620.1339999999999,201.84788216673783,190.27927878664835,1.0607980199097815,0.333679657773177,30417,195.8965029762344,0.7730980351921202,0.990893250484926,0.9848770693509094,0.970515523241471,0.0066970100254392,0.0036649719644516,0.9419003808526663,0.9991660589607771,SEKER
30279,634.927,212.5605564253862,181.5101815997528,1.1710668489886833,0.5204006602912636,30600,196.34770224027577,0.775688484693224,0.9895098039215686,0.9438517832505928,0.9237259515228944,0.0070200652737998,0.0031527787389953,0.8532696335168766,0.9992357810603372,SEKER
30477,670.033,211.05015532184012,184.03905011294344,1.146768336352096,0.489477894457261,30970,196.98863318702823,0.7624015009380863,0.9840813690668389,0.8530798687748347,0.9333735523038642,0.0069248992788607,0.0032420162453765,0.8711861881403341,0.9990487356266152,SEKER
30519,629.727,212.99675505634576,182.73720376406496,1.16559053476242,0.5137595579635881,30847,197.12432033052752,0.7706818181818181,0.989366875222874,0.9671092439901504,0.9254803918415592,0.0069791524970131,0.0031582851463625,0.8565139556832061,0.998344559636264,SEKER
30685,635.6809999999999,213.5341451645164,183.1571462959737,1.1658521083280848,0.5140808603472913,31044,197.65969601868372,0.7715614785013829,0.9884357685865224,0.9542398075022368,0.9256584976908389,0.0069589097332415,0.0031515495188116,0.8568436543472606,0.9989529809282944,SEKER
30834,631.934,217.22781276440924,180.89746857382104,1.2008339004244408,0.5536422246843214,31120,198.13901211615044,0.7836828059473884,0.990809768637532,0.9702782301205946,0.912125429956056,0.0070450740340017,0.0030080398121198,0.83197279997252,0.9990611424380446,SEKER
30917,640.765,213.560089393098,184.43987085903285,1.1578846178889468,0.5041023654121609,31280,198.405511527722,0.7708052854649712,0.9883951406649616,0.9462581799326396,0.9290383427519496,0.0069075294948765,0.0031742202947999,0.8631122423032895,0.9993843888746164,SEKER
31091,638.558,210.48625487082808,188.32684762014023,1.1176646215381034,0.4466219235668544,31458,198.96303849047172,0.7863773174494777,0.9883336512174964,0.958172835629964,0.9452543046697848,0.0067700059461203,0.003333983668368,0.8935057004967585,0.9986397105878476,SEKER
